time,dw_sf,dw_us,dw_gw,d_gwhead,precip,evap,precevap,irgrw,R_inf,R_sat,Qcgi,Qcgl,q_infil,q_drain,q_sfw_ocn,q_gw_out,q_sfw_fix,q_gw_fix,streamflow,istreamflow,dw_ug,R_sf,R_total,Qin,Qout,subbasin,error_ug,error_lsm
time,mm/d,mm/d,mm/d,m,mm/d,mm/d,mm/d,mm/d,mm/d,mm/d,mm/d,mm/d,mm/d,mm/d,mm/d,mm/d,mm/d,mm/d,m3/s,direction,mm/d,mm/d,mm/d,unknown,unknown,category,mm/d,mm/d
1979,-0.008457,-0.02347,0.055105,142.427567,1.197721,0.895401,0.036681,0,0.182298,0.002198,0.015455,0.000309,0.130204,0.368214,0.211562,-0.000004,0.000015,0,87.863823,2.624883,0.031635,0.184496,0.200261,0,0,1997,0,0
1980,0.001431,-0.045121,0.018854,142.393661,1.071712,0.843544,0.0356,0,0.203168,0.001892,0.015846,0.001042,0.040293,0.306406,0.246889,-0.000004,0.000009,0,85.383301,2.820385,-0.026267,0.20506,0.221947,0,0,1997,0,0
1981,0.005244,-0.00944,0.094449,142.359802,1.271257,0.838635,0.035755,0,0.264438,0.004499,0.018719,-0.000311,0.177271,0.374183,0.287457,-0.000004,0.000018,0,110.817345,2.954203,0.085009,0.268937,0.287346,0,0,1997,0,0
1982,-0.001952,-0.02625,0.032518,142.293762,1.05623,0.792275,0.030949,0,0.176486,0.004008,0.021704,0.001126,0.096536,0.360933,0.226252,-0.000004,0.000013,0,79.781548,2.692369,0.006268,0.180493,0.203323,0,0,1997,0,0
1983,0.005841,-0.037498,0.16578,142.239243,1.366671,0.890044,0.037574,0,0.241147,0.005149,0.026402,0.001671,0.249898,0.45548,0.283927,-0.000004,0.000003,0,99.82901,2.928529,0.128282,0.246295,0.274369,0,0,1997,0,0
1984,-0.009238,-0.054321,0.120789,142.109482,1.332669,0.919145,0.038741,0,0.220338,0.003237,0.027479,0.001468,0.191406,0.449227,0.29002,-0.000003,0.000013,0,100.000618,2.866593,0.066469,0.223575,0.252522,0,0,1997,0,0
1985,0.004843,-0.0299,0.132316,142.00264,1.336405,0.90987,0.037807,0,0.221653,0.003582,0.023735,0.000418,0.225902,0.465467,0.256382,0,0.000015,0,98.709145,3.001917,0.102416,0.225235,0.249389,0,0,1997,0,0
1986,-0.007777,-0.072512,-0.016969,141.925873,0.967888,0.826144,0.033307,0,0.162303,0.002647,0.02048,0.000949,-0.015572,0.35131,0.20403,-0.000003,0.000019,0,85.131271,2.800058,-0.089481,0.16495,0.186379,0,0,1997,0,0
1987,0.001327,0.005793,0.008674,141.928482,1.085793,0.847911,0.035834,0,0.189324,0.001932,0.017261,0.000768,0.066012,0.346194,0.235266,-0.000004,0.000014,0,81.097366,3.231143,0.014467,0.191256,0.209286,0,0,1997,0,0
,-0.354374444,-11.87138167,24.80037111,51898.1541,433.3906989,314.8315206,13.06894667,0,75.480175,1.181951111,7.587173889,0.301733333,47.12352778,141.0284567,90.91683611,-0.001216667,0.004826111,0,33604.87787,1051.203244,12.92903,76.662045,84.55111444,,,,,
